Pathway	test.results.p.value	test.results.p.adj	test.results.vote.rank	test.results.avg.rank	test.results.med.rank	test.results.min.pvalue	test.results.min.rank	test.results.avg.logfc	test.results.avg.logfc.dir	test.results.direction	test.results.significance	Big_pathway
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.0030695298078413894	0.014186396701292327	11670	4578	3386.5	1.5370071068997605e-4	470	0.6767526234776092	-0.6788557747455866	-1	4.7252853686143945	gmtcustom
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_UP	0.00307583461968137	0.014210072237966852	7660	4626.8	4337.5	1.540168742495856e-4	471	0.6451195556587335	-0.6503802036903219	-1	4.754312140557246	gmtcustom
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	0.0030840168449512164	0.01424239972845124	7200	5317.65	4341.5	1.544271861492888e-4	641	0.5789574251189431	-0.2883570632233391	-0.6	2.954922844601447	gmtcustom
BIOCARTA_G1_PATHWAY	0.003097479782590248	0.014299080056266272	9510	4700.8	6019.5	1.5510231550676425e-4	461	0.7374821475815555	0.3989111498241422	0.6	2.952812439640005	gmtcustom
GO_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	0.0030992653531211507	0.014301830637185932	8990	7468.1	8121.5	1.551918576168237e-4	1037	0.4268447400622937	-0.267880834911102	-0.2	1.417108822140071	gmtcustom
GSE27859_MACROPHAGE_VS_CD11C_INT_F480_INT_DC_DN	0.0031022878961952252	0.014309703564580835	3375	4986.75	5785	1.553434313015086e-4	475	0.7214555094345722	-0.13642918517762917	-0.2	3.966961958220435	gmtcustom
E2F1DP1RB_01	0.003103352232997441	0.014309703564580835	3790	5049.6	3719.5	1.5539680548379642e-4	201	0.7197495651218844	-0.19118632800617363	-0.2	4.105997813139568	gmtcustom
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	0.0031086473121875397	0.014326056444165599	7250	3435.1	3098.5	1.5566234302577636e-4	230	0.8133181513499133	0.307222817352584	0.2	11.384537404155331	gmtcustom
GSE7852_TREG_VS_TCONV_THYMUS_DN	0.0031092821947282297	0.014326056444165599	855	6397.3	5957.5	1.556941811946853e-4	668	0.552709875159759	-0.375048684925037	-0.6	5.169588934566489	gmtcustom
GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN	0.003111167784657275	0.014329252084047934	10675	3152.5	2357.5	1.5578874010740436e-4	223	0.8804979342328424	-0.14536350765518566	-0.2	7.041261253734009	gmtcustom
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN	0.0031128196353964683	0.014331369144810778	6240	7459.4	7147	1.5587157756359862e-4	231	0.6275296789597585	-0.05468980381799251	-0.2	5.627322201816265	gmtcustom
GSE7852_THYMUS_VS_FAT_TREG_UP	0.0031159311176268186	0.014340202130548235	1710	7361.4	7225.5	1.56027613367462e-4	669	0.6295943338484324	-0.4137558802759164	-0.6	3.6393989898849086	gmtcustom
chr10q24	0.003117429232785454	0.014341606126029064	8615	6376.45	8476	1.5610274158584205e-4	473	0.7230834970206936	0.29524685851952165	0.2	3.620863006499989	gmtcustom
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	0.003127686356507452	0.014383289093946473	1600	5690.55	5787	1.5661712376988598e-4	670	0.6805688407583435	0.49357828860253306	0.6	7.096080098200561	gmtcustom
GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN	0.003129696215944795	0.014387027996891925	2005	3705.05	3287.5	1.5671791634662516e-4	661	0.6527375302451719	-0.19338545535829707	-0.2	6.714657091608938	gmtcustom
GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_UP	0.003137475951083079	0.014413705668155181	4800	3506.65	3054	1.5710806462969636e-4	476	0.8511730600624585	-0.11153103259051036	-0.2	7.807339056304637	gmtcustom
KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3	0.003137897656897272	0.014413705668155181	2590	5182.25	6057.5	1.5712921296436434e-4	1040	0.6364192640291995	-0.4121026501749562	-0.6	3.934799812528433	gmtcustom
GSE3982_DC_VS_BASOPHIL_DN	0.0031396827799276563	0.014416396752295783	2010	4048	2757	1.572187360814236e-4	643	0.7726604858978562	-0.48378705221861773	-0.6	8.3151655701846785	gmtcustom
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.003143948942994314	0.014418874387712942	2100	4962.65	5212.5	1.574326828572741e-4	675	0.8188219278418764	0.19107580221000978	0.2	6.20123033187756	gmtcustom
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	0.003146219742032364	0.014418874387712942	1365	4392.5	1334	1.5754656309075184e-4	28	1.2430495651248976	0.007092850297487652	-0.2	13.55941000849993	gmtcustom
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	0.003145803934518211	0.014418874387712942	4000	3646.55	2036	1.57525710387428e-4	297	0.7780970481481657	0.3920191615154879	0.6	7.480503957853047	gmtcustom
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	0.0031455648541906162	0.014418874387712942	5980	5211.3	4875.5	1.575137205377586e-4	744	0.6908773986007682	-0.6904429579642266	-1	4.401398909289545	gmtcustom
TOOKER_GEMCITABINE_RESISTANCE_UP	0.0031446747455518742	0.014418874387712942	10960	6343.85	5511	1.574690817206166e-4	477	0.6064158319975133	0.5829512394954937	1	3.5738376121339837	gmtcustom
LI_AMPLIFIED_IN_LUNG_CANCER	0.003147622184880627	0.014419804224256866	260	5053.75	5244.5	1.576168955137729e-4	224	0.9396918917813669	0.44158728046490114	0.2	8.098378640288797	gmtcustom
GCM_SMO	0.00315662332163497	0.01445553102833294	5330	5657.1	5667.5	1.580683042089709e-4	230	0.5054217742615649	0.15540468646155295	0.2	2.0766471514397624	gmtcustom
XU_AKT1_TARGETS_6HR	0.0031578324133322623	0.014455561096979104	4575	5827.8	6474.5	1.581289406792025e-4	676	0.42655313280183144	0.013738079393777441	-0.2	4.40786989992114	gmtcustom
PRC2_EED_UP.V1_DN	0.0031641420421024313	0.014478641645044732	11630	4359.05	4533	1.58445372417736e-4	351	0.748452479475387	0.07077869341635283	0.2	4.116335840132685	gmtcustom
GSE40666_WT_VS_STAT4_KO_CD8_TCELL_UP	0.003165283274534361	0.014478641645044732	11015	5087.45	2520.5	1.585026061247872e-4	480	1.0420704342197569	1.0449242604165696	1	8.86985588466647	gmtcustom
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	0.0031695875891216327	0.01449281567471706	4335	4692.35	2989	1.587184714581736e-4	231	0.9027951885945527	0.43850732155235217	0.2	9.842864689424754	gmtcustom
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	0.00317107908165001	0.014494122296773675	1865	6015.8	5817.5	1.587932713861378e-4	481	0.789147661690352	-0.2316417322228047	-0.2	6.282954950822616	gmtcustom
GSE3565_DUSP1_VS_WT_SPLENOCYTES_POST_LPS_INJECTION_DN	0.0031750985204380827	0.014506978074567158	330	4459	4937	1.5899485102238036e-4	330	0.8768909363496518	-0.21325716012427146	-0.2	7.599978174832691	gmtcustom
GO_ATP_DEPENDENT_DNA_HELICASE_ACTIVITY	0.003189456849853596	0.014567044373894408	390	5166.35	3525.5	1.5971494462747318e-4	386	0.5518398749484446	0.3141250183077736	0.6	5.818387930515847	gmtcustom
GO_ACETYLTRANSFERASE_ACTIVITY	0.003193198981698348	0.01457329295002561	6565	5210.25	5999	1.5990262025289677e-4	722	0.5547760731486655	0.12706272448782086	0.2	7.038946274098231	gmtcustom
MORI_PLASMA_CELL_UP	0.003193249615703141	0.01457329295002561	3400	6200.5	4436.5	1.599051596571955e-4	234	0.5648732941762751	0.0010395974731227053	-0.2	3.7892550881359557	gmtcustom
GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP	0.0031969125852848953	0.014584472936512232	4600	3240.75	3064	1.6008886578906356e-4	39	1.0967323723934082	0.027422234759363208	-0.2	12.49559450940229	gmtcustom
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP	0.003213403466740934	0.014648586679443599	1335	4317.95	4645	1.609159283869077e-4	682	0.6920279143464626	-0.15064410397356115	-0.2	5.864413954247309	gmtcustom
GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_UP	0.003212676798664958	0.014648586679443599	6130	6383.5	5162.5	1.6087948373092804e-4	470	0.6818053935922864	0.4133700498335488	0.6	2.5056069767706513	gmtcustom
OCT1_06	0.00321532958274967	0.014651810809034792	5495	5215.6	5661.5	1.610125291959625e-4	484	0.6971638827941278	-0.6900654253192293	-1	4.165509237483678	gmtcustom
GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_DN	0.003217715704627099	0.01465712788379021	2610	3964.9	4620.5	1.6113220099998692e-4	446	0.6351822566120118	-0.31546932572519615	-0.6	3.961342360864357	gmtcustom
GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP	0.003219668423990269	0.014660467471510237	3580	5522.55	5448	1.6123013645513807e-4	226	0.7496482865235828	0.19644922459297592	0.2	3.6437562823982708	gmtcustom
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.0032235138286461694	0.014672419437393261	4670	8298.5	9326.5	1.614229969874163e-4	683	0.5876806131539333	-0.5307380403255322	-1	3.685980030914248	gmtcustom
GO_PHAGOSOME_ACIDIFICATION	0.003224850456955899	0.014672947518193362	5995	5679.4	4939	1.6149003375127207e-4	764	0.5155223759771554	-0.28346611647531805	-0.6	2.544101807497135	gmtcustom
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	0.0032284060532896445	0.014683567599922365	1230	4376.25	1070.5	1.6166836023571312e-4	550	0.7029549917385253	0.14212864595743857	0.2	8.189491528783545	gmtcustom
MODULE_6	0.003233185157142636	0.014699742350231328	1390	3964.75	1501	1.61908051160618e-4	242	0.8924437661456388	-0.08112564585726592	-0.2	10.637191356288549	gmtcustom
GO_PROTEIN_PHOSPHORYLATED_AMINO_ACID_BINDING	0.003237784663956091	0.014715088637208383	8375	8274.9	8847.5	1.6213873561598058e-4	735	0.5325863611449694	-0.26739115358967536	-0.6	1.880555102593466	gmtcustom
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	0.003248844409528375	0.014759772731270066	8735	5738.3	5370.5	1.6269343213585861e-4	576	0.833415155102112	0.22317193877738767	-0.2	4.387616436072479	gmtcustom
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	0.0032513704016343416	0.01476566815188758	6895	3991	4865.5	1.62820122943773e-4	251	0.7228894744551635	0.49998593575841643	0.6	4.293596794159031	gmtcustom
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	0.0032579478971427878	0.01478436831693222	9760	4717.1	5145	1.6315001781287212e-4	685	0.7220687920363267	0.5146142983156522	0.6	3.0955549849757826	gmtcustom
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.003256944858238957	0.01478436831693222	8835	4477.3	3533.5	1.630997101742749e-4	248	0.7582827563651635	0.12581402013996965	0.2	6.6811141066718145	gmtcustom
GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_DN	0.003267732734039891	0.0148231755456202	5940	4490.2	5138.5	1.636407809997764e-4	914	0.6144226920063367	-0.6643293410213427	-1	4.132986882182312	gmtcustom
GSE6674_CPG_VS_PL2_3_STIM_BCELL_UP	0.003271371074668264	0.014834082115649645	6240	4447.75	4125.5	1.6382326488608974e-4	1055	0.6578975671808354	-0.1365602063314017	-0.2	4.891107102126125	gmtcustom
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP	0.003275910518311158	0.014843467900723115	9740	5393.85	5040	1.64050945202645e-4	270	0.7923340202471253	-0.09031612526976933	-0.2	7.992718742688768	gmtcustom
GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	0.0032750413663871327	0.014843467900723115	12010	2752.4	1565	1.6400735194609318e-4	104	0.7414415489554358	0.13838414053380943	0.2	7.394486613074958	gmtcustom
GO_CELL_CYCLE_CHECKPOINT	0.003282999444332542	0.014869983541944796	8275	5849.95	6672.5	1.6440649931716457e-4	315	0.6174718183597061	-0.06717323979923903	-0.2	3.3611536629049463	gmtcustom
GTGCCAT_MIR183	0.0032901781597866092	0.014896885747192026	1600	5440.5	4909.5	1.6476655938325773e-4	489	0.6560829608053906	-0.4829355794247871	-0.6	7.347763583730451	gmtcustom
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.003292398443342758	0.014901325936529855	3680	7192.05	7717	1.6487792178924374e-4	469	0.34680724939157587	0.12268215837706536	0.2	2.695504722817554	gmtcustom
BURTON_ADIPOGENESIS_PEAK_AT_16HR	0.003298105965015273	0.014921540009577943	675	3888.35	4345	1.6516419411933376e-4	231	0.7148709684964861	-0.1419024770432785	-0.2	5.361232022566942	gmtcustom
SMTTTTGT_UNKNOWN	0.003301232554643033	0.014930066418120355	8985	4471.9	2433	1.6532101522621678e-4	978	0.7578107330824658	-0.7062547657387077	-1	5.301978797018759	gmtcustom
FERRANDO_HOX11_NEIGHBORS	0.0033149612548934817	0.014986517203864064	4530	4845.4	2452.5	1.6600961447331552e-4	519	0.7255481596073414	-0.07731081932918411	-0.2	4.651063075874906	gmtcustom
PID_NETRIN_PATHWAY	0.003324027080772976	0.015012121826743741	2680	7439.25	7385.5	1.6646433987182728e-4	243	0.6931195402304834	-0.3255741741541105	-0.6	2.5644083855872104	gmtcustom
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN	0.003324371375325833	0.015012121826743741	8820	5103.8	6867.5	1.6648160914017158e-4	222	0.6802650131212497	0.47804519246368854	0.6	3.847508612320837	gmtcustom
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	0.0033223505874110117	0.015012121826743741	8825	6362.35	7838.5	1.6638024970652438e-4	215	0.6168261246163156	0.36459688627489295	0.6	2.8685263975152995	gmtcustom
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.0033289423101922184	0.01502711810395068	3520	5332.05	5918.5	1.6671088051565226e-4	234	0.6296210897861529	-0.44448459158574816	-0.6	6.86321881960162	gmtcustom
GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN	0.0033376841969617803	0.01505637003852029	11755	5460.85	4983	1.671493634910354e-4	235	0.7651902515333984	-0.06258564602045856	-0.2	6.728419186760261	gmtcustom
GCCNNNWTAAR_UNKNOWN	0.003337927472977005	0.01505637003852029	2445	3121.2	2851	1.6716156598811652e-4	964	0.8784579109207791	-0.0953640049364635	-0.2	7.635393791742207	gmtcustom
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	0.0033425970631902075	0.015063984200788912	890	6854.75	8504	1.673957888082821e-4	685	0.6478221105581841	0.21162478961090395	0.2	6.342307046485355	gmtcustom
GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_DN	0.0033446280535650618	0.015063984200788912	1670	6297.5	5146.5	1.674976619471971e-4	279	0.7400878046892286	-0.4015476976676308	-0.6	6.181086845651714	gmtcustom
SCHLOSSER_SERUM_RESPONSE_DN	0.003343904108570549	0.015063984200788912	3210	3222.95	2910	1.6746134932068372e-4	9	0.6530373218337017	-0.6537043545985383	-1	5.503322046735169	gmtcustom
GO_STRUCTURAL_MOLECULE_ACTIVITY	0.0033418840541998085	0.015063984200788912	9730	7474.8	9327	1.6736002479392025e-4	187	0.5572839538886848	-0.0961596178335251	-0.2	2.2580659181375813	gmtcustom
MODULE_171	0.003346966760517503	0.015068871695947903	10255	5210.2	5326.5	1.6761497019118172e-4	492	0.6602642831898681	0.6464294352348692	1	4.115136027732477	gmtcustom
CACGTTT_MIR302A	0.0033495903215633592	0.015069395679458511	2415	7539.65	8270.5	1.6774656686977286e-4	686	0.6058812134301417	-0.25555312616031944	-0.2	3.3777997435856175	gmtcustom
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP	0.0033491706038538	0.015069395679458511	9330	4839.2	3700.5	1.67725513990281e-4	475	0.8736602420865157	-0.5924528908094556	-0.6	5.824899617095238	gmtcustom
GSE32034_LY6C_HIGH_VS_LOW_ROSIGLIZATONE_TREATED_MONOCYTE_UP	0.0033576363716089287	0.015099942694766527	10855	5430.65	3487	1.6815015528550507e-4	437	0.6075339876029834	-0.31888407930022183	-0.6	4.3903832346023695	gmtcustom
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_0.5H_CD4_TCELL_DN	0.003359399462633083	0.015102221742824344	6080	5756.6	4651.5	1.682385920259909e-4	477	0.6893338438616975	0.4774868720382441	0.6	5.013543992749768	gmtcustom
GO_REGULATION_OF_IMMUNE_RESPONSE	0.003366780259247337	0.015120800085544023	11880	5790.1	8343	1.686088147940879e-4	30	0.7827169558918518	-0.07053107059621995	-0.2	6.879485454627278	gmtcustom
GO_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	0.0033673057007737586	0.015120800085544023	1460	7143.95	7664.5	1.68635171183455e-4	688	0.5136377570470044	0.10631715183566628	0.2	4.5961089631361665	gmtcustom
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.003367121277782654	0.015120800085544023	8125	5747.85	5066.5	1.6862592043963772e-4	979	0.6863567983845977	-0.21094740188122302	-0.6	2.8351067932803287	gmtcustom
VERHAAK_GLIOBLASTOMA_MESENCHYMAL	0.003373671916436331	0.015138077681030659	9275	4744.65	5022	1.6895450454689528e-4	33	0.7665423858838772	0.3248098011718258	0.2	9.6510637000424	gmtcustom
GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	0.0033725391372560858	0.015138077681030659	1880	6018.15	5427.5	1.6889768349226752e-4	689	0.6911593488780676	-0.711640720056761	-1	4.522331442826263	gmtcustom
JOHNSTONE_PARVB_TARGETS_3_DN	0.003381210019358862	0.015166240911460032	7450	5812.1	6406.5	1.693326230147482e-4	4	0.7268708940766836	-0.3981555893407114	-0.6	5.542870125797584	gmtcustom
TST1_01	0.003389234259940013	0.01519089673331055	1615	5839.1	4732.5	1.697351295989774e-4	555	0.7309748080662586	-0.49730562800791	-0.6	5.408065200636172	gmtcustom
MODULE_281	0.0033884670266097353	0.01519089673331055	955	8379.15	7238	1.6969664402117284e-4	690	0.401914166335636	-0.1755904301252945	-0.6	2.639168773257749	gmtcustom
GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_UP	0.003398631958837108	0.015227340580387952	3885	4777.5	4373.5	1.7020653459412158e-4	692	0.7702649740442082	-0.14634516133691186	-0.2	6.882684690843259	gmtcustom
GSE13493_DP_VS_CD8POS_THYMOCYTE_DN	0.003400065707879174	0.015228088626831426	6355	4558.15	4320.5	1.702784543222181e-4	411	0.6821900614497277	0.6843124231013947	1	4.884446651081431	gmtcustom
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_DN	0.003403386191006406	0.015237283203757173	9910	7565.2	8350	1.7044501679429986e-4	414	0.6028529225187885	0.15140597604951364	0.2	2.411917645882951	gmtcustom
GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_DN	0.0034200876368703694	0.015306356471637642	9615	6177.6	6281	1.7128280471577766e-4	409	0.7322640909900259	-0.0013486179159451605	-0.2	2.19462458811959	gmtcustom
GNF2_CD53	0.0034291267669381547	0.015323989912774557	950	3352.75	2446	1.7173623653018395e-4	182	0.8192688464522205	-0.3704035824857405	-0.6	7.2263289933253425	gmtcustom
WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_36HR	0.0034282672771273046	0.015323989912774557	3065	8476.2	7947.5	1.7169312159092843e-4	1070	0.38641232736824455	-0.11672467574302368	-0.6	2.739744720582483	gmtcustom
GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_DN	0.003426258618264284	0.015323989912774557	9835	7422.15	6948	1.7159236055178695e-4	1069	0.6818817697180928	-0.011892301139399031	-0.2	2.8923419321873047	gmtcustom
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN	0.003428564057873435	0.015323989912774557	9340	6227.7	5212.5	1.7170800912100505e-4	1071	0.5963740704525785	0.35007641502587905	0.6	1.8592703442090002	gmtcustom
GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_DN	0.003431824501336463	0.01533034646249187	9260	4563.1	3866	1.7187156431470207e-4	498	0.720634121307291	0.12498929541867557	0.2	3.4502213728709097	gmtcustom
GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN	0.00345200751367784	0.015414777979911335	8640	5592	6613	1.7288402578398526e-4	237	0.7919597224980964	0.7979348327379049	1	5.42823107396634	gmtcustom
GO_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	0.0034587068932257683	0.015433227751843711	1145	5245.05	5156	1.7322009804401526e-4	737	0.5169089920600263	-0.2573679774473425	-0.6	5.298470084245076	gmtcustom
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	0.003458669043074222	0.015433227751843711	3760	5763.2	7749.5	1.7321819929708341e-4	66	0.6635945190744997	0.2397874098301672	0.2	3.052945262749228	gmtcustom
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	0.003460855914606826	0.015437086808715644	2655	4130.7	3337.5	1.733279034778266e-4	295	0.6037741209874874	-0.19715492488127054	-0.2	6.606347216521055	gmtcustom
CEBALLOS_TARGETS_OF_TP53_AND_MYC_UP	0.0034697386142626585	0.01545949884434819	8830	5637.1	5336.5	1.737735055242346e-4	1075	0.9482034231188633	-0.41482916621349136	-0.2	5.683269407895865	gmtcustom
GSE30083_SP1_VS_SP2_THYMOCYTE_DN	0.0034688712404074775	0.01545949884434819	8160	5598.4	4949.5	1.7372999341006977e-4	483	0.683932452793231	-0.08560732903463637	-0.2	2.487454656098648	gmtcustom
ZHU_CMV_24_HR_DN	0.003468967112488492	0.01545949884434819	5760	4912.15	4655	1.7373480286492614e-4	501	0.6504528848675984	-0.0838601307232401	-0.2	3.8239422670536105	gmtcustom
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP	0.0034726263819632457	0.015466632729744415	6200	5366	5187	1.739183716647412e-4	1076	0.7643765204826333	-0.1910720531589163	-0.2	3.9336310548973543	gmtcustom
GSE27786_LSK_VS_CD4_TCELL_DN	0.0034770227097918357	0.015480477775706538	11245	5836.05	4654.5	1.7413891615523165e-4	484	0.5999058564092806	-0.33523803013550335	-0.6	4.357612411096421	gmtcustom
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	0.0034797860190291926	0.015481313003238312	8560	4854.9	2890	1.742775397364091e-4	170	1.02083813094793	0.30451038650278084	0.2	8.296334215077275	gmtcustom
GO_CARDIAC_CHAMBER_DEVELOPMENT	0.0034785178164856963	0.015481313003238312	3390	6471.55	6520.5	1.7421391931306008e-4	1078	0.5058520271818807	-0.1303728769855439	-0.2	2.1332952669461904	gmtcustom
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	0.0034851261939671295	0.01549511711147136	435	4777.3	5482	1.7454543484687703e-4	431	0.8474569025672963	-0.34385725632904507	-0.6	6.482910716948037	gmtcustom
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP	0.0034854668221793988	0.01549511711147136	3605	4774.2	5400.5	1.7456252284131735e-4	705	0.6601097467208434	-0.1735783469950693	-0.2	5.8856943816916925	gmtcustom
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP	0.0034870576990010697	0.015496458632048746	8730	4188.6	4640	1.74642331026116e-4	336	0.840819068719983	0.848629147031546	1	7.169196933069629	gmtcustom
AAANWWTGC_UNKNOWN	0.003489132056862986	0.015499946953270493	11415	6560.65	6658.5	1.7474639378104332e-4	503	0.5191892185087263	-0.34879990181153087	-0.6	3.990614175541736	gmtcustom
GSE29618_BCELL_VS_MONOCYTE_DN	0.0034932279501775753	0.015506681384447796	7745	4235.5	2487	1.7495186999304585e-4	337	0.7859209915524303	0.13118864368313568	0.2	4.787153453612779	gmtcustom
GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP	0.003492799308783042	0.015506681384447796	10095	4578.25	3782	1.749303665608881e-4	504	0.6785015201612642	-0.4642049657259956	-0.6	3.423643729518542	gmtcustom
GO_LYMPHOCYTE_ACTIVATION	0.003500894191514428	0.015534975664892927	2830	5035.25	7201.5	1.7533645985926807e-4	38	0.8395528208173623	-0.13284334862248903	-0.2	9.010649358940787	gmtcustom
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	0.003502453498252914	0.015536159964021506	340	3913.1	2563	1.7541468544345879e-4	339	0.8587842177717241	-0.7158186419439602	-0.6	6.261945675875551	gmtcustom
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN	0.003506515721061575	0.015536979536631476	10780	4843.1	4699	1.7561847511227735e-4	1063	0.6508288214127265	-0.024874839731089504	-0.2	5.3726855364776345	gmtcustom
BALDWIN_PRKCI_TARGETS_UP	0.003503975758643252	0.015536979536631476	6125	5060.25	5520	1.7549105263940613e-4	1085	0.5757121534853343	-0.35545931412320053	-0.6	2.597310026620192	gmtcustom
CATGTAA_MIR496	0.0035055605403026663	0.015536979536631476	10245	6312.7	6164.5	1.7557055645592062e-4	512	0.679668064727919	0.0014130120010320435	-0.2	2.6057118185702453	gmtcustom
GSE11057_CD4_EFF_MEM_VS_PBMC_UP	0.003518440503088987	0.015584072692569164	4145	5040.3	4945	1.7621671061381284e-4	506	0.6950266852036178	0.027512632318997053	-0.2	2.954138078349464	gmtcustom
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP	0.003526267173456613	0.015612986258608451	975	6947.4	7062.5	1.766093581393814e-4	695	0.6752381317247007	-0.37066899348762494	-0.6	3.682917230064856	gmtcustom
GTGCAAT_MIR25_MIR32_MIR92_MIR363_MIR367	0.003529329552153873	0.015620791806495475	5530	5998.8	6085	1.767629920095612e-4	486	0.571947767218787	-0.5922195007908615	-1	4.019888584183796	gmtcustom
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	0.003535538665649742	0.015630557021968423	9375	5063.95	5190	1.770744931160616e-4	1088	0.6662962156425764	-0.7211659076374191	-1	3.072351346112689	gmtcustom
PID_PI3K_PLC_TRK_PATHWAY	0.0035367369686177615	0.015630557021968423	1395	5460	4938.5	1.7713461023563718e-4	177	0.5693760288946775	-0.22179031838199612	-0.2	2.24728449402966	gmtcustom
GSE21927_EL4_VS_MCA203_TUMOR_MONOCYTES_DN	0.003534576190578072	0.015630557021968423	3555	5373.65	5425	1.7702620718928122e-4	488	1.170766916903835	-0.2182747143703257	0.2	3.816477019136007	gmtcustom
ZHAN_MULTIPLE_MYELOMA_MS_DN	0.003535518204142302	0.015630557021968423	11935	5198	6853	1.7707346659254656e-4	489	0.836184352442158	-0.5023391483420636	-0.6	3.3831466650658406	gmtcustom
GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN	0.0035430169989980166	0.015646806519087127	520	3964.5	4772.5	1.774496713622799e-4	242	0.8363492965264807	-0.3062492009050127	-0.6	8.347660675492532	gmtcustom
